id,date,receiver_deliverer,details,amount,currency,debit_credit
26,2020-01-09,Rahva Raamat e-pood\Paldiski,'5555******4444 09.01.20  Rahva Raamat e-pood\Paldiski,406.9,EUR,D
27,2020-01-09,Baltman\Sillamäe,'5555******4444 09.01.20  Baltman\Sillamäe,31.57,EUR,D
28,2020-01-09,Elen,Transaction with Elen,636.21,EUR,D
29,2020-01-09,Rimi e-pood\Muhu,'5555******4444 09.01.20  Rimi e-pood\Muhu,373.95,EUR,D
30,2020-01-10,Statoil\Elva,'5555******4444 10.01.20  Statoil\Elva,43.99,EUR,D
31,2020-01-11,Bauhof\Loksa,'5555******4444 11.01.20  Bauhof\Loksa,244.42,EUR,D
32,2020-01-11,Eveli,Transaction with Eveli,571.83,EUR,K
33,2020-01-11,Euro Oil\Kärdla,'5555******4444 11.01.20  Euro Oil\Kärdla,51.16,EUR,D
34,2020-01-11,Taavi,Transaction with Taavi,314.32,EUR,D
35,2020-01-11,Reet,Transaction with Reet,887.03,EUR,D
36,2020-01-12,Tallinna Kaubamaja\Kilingi-Nõmme,'5555******4444 12.01.20  Tallinna Kaubamaja\Kilingi-Nõmme,279.38,EUR,D
37,2020-01-12,Balti Jaama Turg\Lääne-Nigula,'5555******4444 12.01.20  Balti Jaama Turg\Lääne-Nigula,128.55,EUR,D
38,2020-01-12,Viru Keskus\Lääne-Nigula,'5555******4444 12.01.20  Viru Keskus\Lääne-Nigula,416.59,EUR,D
39,2020-01-13,PetCenter\Tõrva,'5555******4444 13.01.20  PetCenter\Tõrva,84.93,EUR,D
40,2020-01-15,Toomas,Transaction with Toomas,239.08,EUR,D
41,2020-01-15,Apollo e-pood\Võru,'5555******4444 15.01.20  Apollo e-pood\Võru,295.97,EUR,D
42,2020-01-15,Kurepesa\Kiviõli,'5555******4444 15.01.20  Kurepesa\Kiviõli,460.8,EUR,D
43,2020-01-16,Karl,Transaction with Karl,561.72,EUR,K
44,2020-01-16,Olerex\Kuressaare,'5555******4444 16.01.20  Olerex\Kuressaare,56.38,EUR,D
45,2020-01-17,Egle,Transaction with Egle,277.85,EUR,K
46,2020-01-17,Kersti,Transaction with Kersti,671.41,EUR,K
47,2020-01-17,Abakhan\Loksa,'5555******4444 17.01.20  Abakhan\Loksa,279.73,EUR,D
48,2020-01-17,Euro Oil\Vastseliina,'5555******4444 17.01.20  Euro Oil\Vastseliina,18.29,EUR,D
49,2020-01-19,Neste\Lihula,'5555******4444 19.01.20  Neste\Lihula,93.5,EUR,D
50,2020-01-19,Statoil\Püssi,'5555******4444 19.01.20  Statoil\Püssi,72.11,EUR,D
51,2020-01-19,Hansapost\Jõgeva,'5555******4444 19.01.20  Hansapost\Jõgeva,26.83,EUR,D
52,2020-01-19,Terminal Oil\Võhma,'5555******4444 19.01.20  Terminal Oil\Võhma,27.51,EUR,D
53,2020-01-20,PetCity\Paldiski,'5555******4444 20.01.20  PetCity\Paldiski,183.59,EUR,D
54,2020-01-21,Circle K\Kohtla-Järve,'5555******4444 21.01.20  Circle K\Kohtla-Järve,62.85,EUR,D
55,2020-01-21,ONOFF\Otepää,'5555******4444 21.01.20  ONOFF\Otepää,441.19,EUR,D
56,2020-01-21,Jetoil\Kärdla,'5555******4444 21.01.20  Jetoil\Kärdla,52.39,EUR,D
57,2020-01-21,Denim Dream\Kilingi-Nõmme,'5555******4444 21.01.20  Denim Dream\Kilingi-Nõmme,362.59,EUR,D
58,2020-01-22,Mohito\Tallinn,'5555******4444 22.01.20  Mohito\Tallinn,497.55,EUR,D
59,2020-01-22,Oomipood\Paldiski,'5555******4444 22.01.20  Oomipood\Paldiski,417.25,EUR,D
60,2020-01-23,Rocca al Mare Kaubanduskeskus\Loksa,'5555******4444 23.01.20  Rocca al Mare Kaubanduskeskus\Loksa,417.48,EUR,D
61,2020-01-23,Circle K\Viljandi,'5555******4444 23.01.20  Circle K\Viljandi,99.2,EUR,D
62,2020-01-23,Ivo,Salary from Ivo,4710.25,EUR,K
63,2020-01-24,Helen,Transaction with Helen,919.24,EUR,D
64,2020-01-24,Pärnu Keskus\Tallinn,'5555******4444 24.01.20  Pärnu Keskus\Tallinn,12.55,EUR,D
65,2020-01-25,Laura,Transaction with Laura,863.36,EUR,D
66,2020-01-25,Kurepesa\Sillamäe,'5555******4444 25.01.20  Kurepesa\Sillamäe,288.94,EUR,D
67,2020-01-26,Birgit,Transaction with Birgit,948.21,EUR,K
68,2020-01-26,Espak\Abja-Paluoja,'5555******4444 26.01.20  Espak\Abja-Paluoja,119.13,EUR,D
69,2020-01-26,Ahto,Transaction with Ahto,605.9,EUR,K
70,2020-01-26,Jetoil\Põltsamaa,'5555******4444 26.01.20  Jetoil\Põltsamaa,87.52,EUR,D
71,2020-01-27,Koduekstra\Laagri,'5555******4444 27.01.20  Koduekstra\Laagri,80.79,EUR,D
72,2020-01-27,Skanmööbel\Tapa,'5555******4444 27.01.20  Skanmööbel\Tapa,354.53,EUR,D
73,2020-01-29,Starman\Laagri,'5555******4444 29.01.20  Starman\Laagri,69.58,EUR,D
74,2020-01-29,Marleen,Transaction with Marleen,456.73,EUR,K
75,2020-01-29,Oskar,Transaction with Oskar,596.67,EUR,D
76,2020-01-29,Mohito\Püssi,'5555******4444 29.01.20  Mohito\Püssi,484.78,EUR,D
77,2020-01-30,Alexela\Tallinn,'5555******4444 30.01.20  Alexela\Tallinn,18.97,EUR,D
78,2020-01-30,Erki,Salary from Erki,3413.15,EUR,K
79,2020-01-30,Lindex\Tallinn,'5555******4444 30.01.20  Lindex\Tallinn,311.61,EUR,D
80,2020-01-30,Jetoil\Kiviõli,'5555******4444 30.01.20  Jetoil\Kiviõli,70.81,EUR,D
81,2020-01-30,Circle K\Luunja,'5555******4444 30.01.20  Circle K\Luunja,66.1,EUR,D
82,2020-01-31,Seesam\Narva,'5555******4444 31.01.20  Seesam\Narva,54.84,EUR,D
83,2020-01-31,Reet,Transaction with Reet,912.51,EUR,D
84,2020-01-31,Home4You\Antsla,'5555******4444 31.01.20  Home4You\Antsla,351.18,EUR,D
85,2020-01-31,Terminal Oil\Lääne-Nigula,'5555******4444 31.01.20  Terminal Oil\Lääne-Nigula,28.04,EUR,D
86,2020-01-31,Taavi,Transaction with Taavi,560.98,EUR,K
87,2020-02-01,Katrin,Transaction with Katrin,236.01,EUR,K
88,2020-02-01,STV\Maardu,'5555******4444 01.02.20  STV\Maardu,53.55,EUR,D
89,2020-02-01,Kadaka Turg\Tallinn,'5555******4444 01.02.20  Kadaka Turg\Tallinn,74.77,EUR,D
90,2020-02-01,PetCity\Narva,'5555******4444 01.02.20  PetCity\Narva,344.34,EUR,D
91,2020-02-03,Jetoil\Lohusuu,'5555******4444 03.02.20  Jetoil\Lohusuu,24.5,EUR,D
92,2020-02-03,ERGO\Kuressaare,'5555******4444 03.02.20  ERGO\Kuressaare,168.6,EUR,D
93,2020-02-04,Jetoil\Rapla,'5555******4444 04.02.20  Jetoil\Rapla,45.29,EUR,D
94,2020-02-06,Nõmme Turg\Paldiski,'5555******4444 06.02.20  Nõmme Turg\Paldiski,161.23,EUR,D
95,2020-02-06,Terminal Oil\Lohusuu,'5555******4444 06.02.20  Terminal Oil\Lohusuu,43.92,EUR,D
96,2020-02-06,Statoil\Saku,'5555******4444 06.02.20  Statoil\Saku,57.29,EUR,D
97,2020-02-06,Charlot e-pood\Pärnu,'5555******4444 06.02.20  Charlot e-pood\Pärnu,70.52,EUR,D
98,2020-02-06,Circle K\Antsla,'5555******4444 06.02.20  Circle K\Antsla,75.67,EUR,D
99,2020-02-08,Rimi\Türi,'5555******4444 08.02.20  Rimi\Türi,201.42,EUR,D
100,2020-02-08,PZU\Kiviõli,'5555******4444 08.02.20  PZU\Kiviõli,165.95,EUR,D
101,2020-02-08,Mari,Transaction with Mari,844.5,EUR,D
102,2020-02-08,Euro Oil\Otepää,'5555******4444 08.02.20  Euro Oil\Otepää,98.69,EUR,D
103,2020-02-08,Keskturg\Rakvere,'5555******4444 08.02.20  Keskturg\Rakvere,106.5,EUR,D
104,2020-02-09,Tööriistamarket\Kuressaare,'5555******4444 09.02.20  Tööriistamarket\Kuressaare,394.16,EUR,D
105,2020-02-09,Swedbank Kindlustus\Paldiski,'5555******4444 09.02.20  Swedbank Kindlustus\Paldiski,78.42,EUR,D
106,2020-02-10,Tondi Elektroonika\Tapa,'5555******4444 10.02.20  Tondi Elektroonika\Tapa,476.06,EUR,D
107,2020-02-10,Maarika,Transaction with Maarika,504.46,EUR,D
108,2020-02-11,Benu Apteek\Lääne-Nigula,'5555******4444 11.02.20  Benu Apteek\Lääne-Nigula,384.06,EUR,D
109,2020-02-11,Prisma e-shop\Mustvee,'5555******4444 11.02.20  Prisma e-shop\Mustvee,489.48,EUR,D
110,2020-02-11,Rademar\Kunda,'5555******4444 11.02.20  Rademar\Kunda,247.25,EUR,D
111,2020-02-11,Kaup24\Kärdla,'5555******4444 11.02.20  Kaup24\Kärdla,23.39,EUR,D
112,2020-02-12,Selver\Jõhvi,'5555******4444 12.02.20  Selver\Jõhvi,362.19,EUR,D
113,2020-02-12,Cropp\Luunja,'5555******4444 12.02.20  Cropp\Luunja,407.87,EUR,D
114,2020-02-12,Sander,Transaction with Sander,540.45,EUR,D
115,2020-02-12,Mihkel,Transaction with Mihkel,424.09,EUR,D
116,2020-02-12,Balti Jaama Turg\Kohtla-Järve,'5555******4444 12.02.20  Balti Jaama Turg\Kohtla-Järve,162.39,EUR,D
117,2020-02-13,Säästumarket\Rakvere,'5555******4444 13.02.20  Säästumarket\Rakvere,24.91,EUR,D
118,2020-02-13,Tallinna Küte\Vastseliina,'5555******4444 13.02.20  Tallinna Küte\Vastseliina,156.84,EUR,D
119,2020-02-13,Kristjan,Transaction with Kristjan,246.15,EUR,D
120,2020-02-13,Ivo,Transaction with Ivo,733.48,EUR,D
121,2020-02-14,Olerex\Püssi,'5555******4444 14.02.20  Olerex\Püssi,64.47,EUR,D
122,2020-02-14,Lea,Transaction with Lea,799.96,EUR,D
123,2020-02-14,Priit,Transaction with Priit,699.42,EUR,K
124,2020-02-14,Pärnu Keskus\Abja-Paluoja,'5555******4444 14.02.20  Pärnu Keskus\Abja-Paluoja,394.15,EUR,D
125,2020-02-15,ZooPlan\Põlva,'5555******4444 15.02.20  ZooPlan\Põlva,461.66,EUR,D
126,2020-02-16,Koduekstra\Saku,'5555******4444 16.02.20  Koduekstra\Saku,124.71,EUR,D
127,2020-02-17,Maxima\Otepää,'5555******4444 17.02.20  Maxima\Otepää,395.7,EUR,D
128,2020-02-17,Charlot e-pood\Saue,'5555******4444 17.02.20  Charlot e-pood\Saue,374.97,EUR,D
129,2020-02-17,STV\Muhu,'5555******4444 17.02.20  STV\Muhu,168.11,EUR,D
130,2020-02-17,SkyMedia\Paldiski,'5555******4444 17.02.20  SkyMedia\Paldiski,141.62,EUR,D
131,2020-02-17,Infonet\Kärdla,'5555******4444 17.02.20  Infonet\Kärdla,93.31,EUR,D
132,2020-02-18,Arno,Salary from Arno,3047.44,EUR,K
133,2020-02-18,Alexela\Narva,'5555******4444 18.02.20  Alexela\Narva,63.84,EUR,D
134,2020-02-18,Katrin,Transaction with Katrin,779.56,EUR,D
135,2020-02-18,Autoekspert\Kilingi-Nõmme,'5555******4444 18.02.20  Autoekspert\Kilingi-Nõmme,270.05,EUR,D
136,2020-02-18,Evelin,Salary from Evelin,4167.7,EUR,K
137,2020-02-19,Marleen,Transaction with Marleen,546.06,EUR,D
138,2020-02-19,AlkoExpress\Türi,'5555******4444 19.02.20  AlkoExpress\Türi,35.96,EUR,D
139,2020-02-20,Värvikeskus\Lihula,'5555******4444 20.02.20  Värvikeskus\Lihula,480.84,EUR,D
140,2020-02-20,Rimi e-pood\Paide,'5555******4444 20.02.20  Rimi e-pood\Paide,188.22,EUR,D
141,2020-02-21,Expert\Tartu,'5555******4444 21.02.20  Expert\Tartu,98.43,EUR,D
142,2020-02-21,Reserved\Püssi,'5555******4444 21.02.20  Reserved\Püssi,246.31,EUR,D
143,2020-02-21,Compensa\Kilingi-Nõmme,'5555******4444 21.02.20  Compensa\Kilingi-Nõmme,156.07,EUR,D
144,2020-02-21,Circle K\Lohusuu,'5555******4444 21.02.20  Circle K\Lohusuu,80.38,EUR,D
145,2020-02-22,Kersti,Transaction with Kersti,372.76,EUR,K
146,2020-02-22,ZooPlan\Türi,'5555******4444 22.02.20  ZooPlan\Türi,39.63,EUR,D
147,2020-02-22,NS King\Antsla,'5555******4444 22.02.20  NS King\Antsla,360.41,EUR,D
148,2020-02-23,Arne,Transaction with Arne,972.07,EUR,D
149,2020-02-23,Eeden Keskus\Võru,'5555******4444 23.02.20  Eeden Keskus\Võru,209.32,EUR,D
150,2020-02-23,Oliver,Transaction with Oliver,945.12,EUR,D
151,2020-02-23,Coop\Kose,'5555******4444 23.02.20  Coop\Kose,43.84,EUR,D
152,2020-02-23,Olerex\Pärnu,'5555******4444 23.02.20  Olerex\Pärnu,66.87,EUR,D
153,2020-02-24,Siim,Transaction with Siim,911.18,EUR,D
154,2020-02-25,Peeter,Salary from Peeter,1469.36,EUR,K
155,2020-02-25,Janek,Transaction with Janek,975.47,EUR,K
156,2020-02-25,Katrin,Transaction with Katrin,13.03,EUR,D
157,2020-02-25,Ehe ja Ehtne\Rapla,'5555******4444 25.02.20  Ehe ja Ehtne\Rapla,194.01,EUR,D
158,2020-02-25,Selver\Laagri,'5555******4444 25.02.20  Selver\Laagri,43.81,EUR,D
159,2020-02-26,Rocca al Mare Kaubanduskeskus\Tabasalu,'5555******4444 26.02.20  Rocca al Mare Kaubanduskeskus\Tabasalu,226.03,EUR,D
160,2020-02-26,Nõmme Turg\Viljandi,'5555******4444 26.02.20  Nõmme Turg\Viljandi,244.26,EUR,D
161,2020-02-27,E-Selver\Muhu,'5555******4444 27.02.20  E-Selver\Muhu,382.32,EUR,D
162,2020-02-27,Meelis,Transaction with Meelis,405.15,EUR,D
163,2020-02-27,Grete,Salary from Grete,1863.7,EUR,K
164,2020-02-28,K-rauta\Sillamäe,'5555******4444 28.02.20  K-rauta\Sillamäe,136.76,EUR,D
165,2020-02-28,Ingrid,Transaction with Ingrid,160.45,EUR,D
166,2020-02-28,Starman\Põlva,'5555******4444 28.02.20  Starman\Põlva,33.56,EUR,D
167,2020-02-28,Jana,Salary from Jana,2892.58,EUR,K
168,2020-02-29,Rahva Raamat\Kohtla-Järve,'5555******4444 29.02.20  Rahva Raamat\Kohtla-Järve,179.36,EUR,D
169,2020-02-29,Neste\Elva,'5555******4444 29.02.20  Neste\Elva,69.64,EUR,D
170,2020-02-29,Airi,Transaction with Airi,927.22,EUR,K
171,2020-02-29,Sander,Transaction with Sander,808.0,EUR,D
172,2020-03-01,Utilitas\Kunda,'5555******4444 01.03.20  Utilitas\Kunda,39.44,EUR,D
173,2020-03-01,Hansapost\Pärnu,'5555******4444 01.03.20  Hansapost\Pärnu,179.23,EUR,D
174,2020-03-01,Neste\Kuressaare,'5555******4444 01.03.20  Neste\Kuressaare,69.56,EUR,D
175,2020-03-01,Kidzone\Lohusuu,'5555******4444 01.03.20  Kidzone\Lohusuu,123.31,EUR,D
176,2020-03-03,Heiki,Transaction with Heiki,476.19,EUR,K
177,2020-03-03,Eeden Keskus\Kohtla-Järve,'5555******4444 03.03.20  Eeden Keskus\Kohtla-Järve,420.84,EUR,D
178,2020-03-03,Andres,Transaction with Andres,533.8,EUR,D
179,2020-03-03,Statoil\Keila,'5555******4444 03.03.20  Statoil\Keila,45.61,EUR,D
180,2020-03-03,Tööriistamarket\Mustvee,'5555******4444 03.03.20  Tööriistamarket\Mustvee,446.16,EUR,D
181,2020-03-04,AlkoExpress\Narva,'5555******4444 04.03.20  AlkoExpress\Narva,37.07,EUR,D
182,2020-03-04,Decora\Tapa,'5555******4444 04.03.20  Decora\Tapa,110.87,EUR,D
183,2020-03-04,Arno,Transaction with Arno,991.8,EUR,K
184,2020-03-04,Decora\Saku,'5555******4444 04.03.20  Decora\Saku,114.41,EUR,D
185,2020-03-05,Alexela\Võhma,'5555******4444 05.03.20  Alexela\Võhma,17.25,EUR,D
186,2020-03-05,ABC King\Keila,'5555******4444 05.03.20  ABC King\Keila,193.27,EUR,D
187,2020-03-05,XS Mänguasjad\Antsla,'5555******4444 05.03.20  XS Mänguasjad\Antsla,288.69,EUR,D
188,2020-03-06,Juhan,Transaction with Juhan,836.54,EUR,D
189,2020-03-06,T1 Mall of Tallinn\Lihula,'5555******4444 06.03.20  T1 Mall of Tallinn\Lihula,48.72,EUR,D
190,2020-03-06,Karl,Transaction with Karl,481.44,EUR,K
191,2020-03-06,Photopoint\Tartu,'5555******4444 06.03.20  Photopoint\Tartu,372.38,EUR,D
192,2020-03-08,Euro Oil\Kärdla,'5555******4444 08.03.20  Euro Oil\Kärdla,17.48,EUR,D
193,2020-03-08,Statoil\Mustvee,'5555******4444 08.03.20  Statoil\Mustvee,75.35,EUR,D
194,2020-03-08,Coop\Antsla,'5555******4444 08.03.20  Coop\Antsla,316.25,EUR,D
195,2020-03-09,Selver\Võhma,'5555******4444 09.03.20  Selver\Võhma,197.28,EUR,D
196,2020-03-09,Viktor,Transaction with Viktor,697.26,EUR,D
197,2020-03-09,Värvikeskus\Rakvere,'5555******4444 09.03.20  Värvikeskus\Rakvere,65.42,EUR,D
198,2020-03-09,Euro Oil\Elva,'5555******4444 09.03.20  Euro Oil\Elva,57.75,EUR,D
199,2020-03-10,Värvikeskus\Türi,'5555******4444 10.03.20  Värvikeskus\Türi,55.28,EUR,D
200,2020-03-10,Tööriistamarket\Lihula,'5555******4444 10.03.20  Tööriistamarket\Lihula,315.14,EUR,D
201,2020-03-10,Jetoil\Viljandi,'5555******4444 10.03.20  Jetoil\Viljandi,70.9,EUR,D
202,2020-03-11,If Kindlustus\Valga,'5555******4444 11.03.20  If Kindlustus\Valga,187.15,EUR,D
203,2020-03-11,Automaailm\Tõrva,'5555******4444 11.03.20  Automaailm\Tõrva,174.85,EUR,D
204,2020-03-11,Cropp\Luunja,'5555******4444 11.03.20  Cropp\Luunja,221.25,EUR,D
205,2020-03-11,Kaubamaja\Lohusuu,'5555******4444 11.03.20  Kaubamaja\Lohusuu,171.18,EUR,D
206,2020-03-12,Statoil\Põlva,'5555******4444 12.03.20  Statoil\Põlva,22.46,EUR,D
207,2020-03-12,Piret,Transaction with Piret,452.61,EUR,D
208,2020-03-12,Erik,Transaction with Erik,79.15,EUR,K
209,2020-03-12,Terminal Oil\Lääne-Nigula,'5555******4444 12.03.20  Terminal Oil\Lääne-Nigula,54.6,EUR,D
210,2020-03-13,Jetoil\Paide,'5555******4444 13.03.20  Jetoil\Paide,85.07,EUR,D
211,2020-03-13,Hansapost e-pood\Jõhvi,'5555******4444 13.03.20  Hansapost e-pood\Jõhvi,210.9,EUR,D
212,2020-03-13,Neste\Tõrva,'5555******4444 13.03.20  Neste\Tõrva,63.53,EUR,D
213,2020-03-13,Prisma\Paide,'5555******4444 13.03.20  Prisma\Paide,240.9,EUR,D
214,2020-03-13,Sõbralt Sõbrale\Tabasalu,'5555******4444 13.03.20  Sõbralt Sõbrale\Tabasalu,398.37,EUR,D
215,2020-03-15,Reet,Transaction with Reet,697.08,EUR,K
216,2020-03-15,Neste\Kilingi-Nõmme,'5555******4444 15.03.20  Neste\Kilingi-Nõmme,30.52,EUR,D
217,2020-03-16,Kaubamaja e-pood\Tõrva,'5555******4444 16.03.20  Kaubamaja e-pood\Tõrva,168.87,EUR,D
218,2020-03-16,Matkasell\Lihula,'5555******4444 16.03.20  Matkasell\Lihula,286.03,EUR,D
219,2020-03-17,Oomipood\Kiviõli,'5555******4444 17.03.20  Oomipood\Kiviõli,210.07,EUR,D
220,2020-03-17,Põnnipesa\Maardu,'5555******4444 17.03.20  Põnnipesa\Maardu,225.37,EUR,D
221,2020-03-17,Rahva Raamat\Põlva,'5555******4444 17.03.20  Rahva Raamat\Põlva,139.84,EUR,D
222,2020-03-18,Apollo Raamatud\Mustvee,'5555******4444 18.03.20  Apollo Raamatud\Mustvee,126.76,EUR,D
223,2020-03-19,Hansaplant\Valga,'5555******4444 19.03.20  Hansaplant\Valga,159.1,EUR,D
224,2020-03-19,Linda,Transaction with Linda,368.67,EUR,K
225,2020-03-19,Matkasell\Paldiski,'5555******4444 19.03.20  Matkasell\Paldiski,208.2,EUR,D
226,2020-03-19,Tervis24\Tapa,'5555******4444 19.03.20  Tervis24\Tapa,289.18,EUR,D
227,2020-03-19,Signe,Transaction with Signe,70.06,EUR,D
228,2020-03-20,Viru Keskus\Kilingi-Nõmme,'5555******4444 20.03.20  Viru Keskus\Kilingi-Nõmme,311.47,EUR,D
229,2020-03-20,Kadri,Transaction with Kadri,858.51,EUR,K
230,2020-03-20,Euro Oil\Kärdla,'5555******4444 20.03.20  Euro Oil\Kärdla,27.77,EUR,D
231,2020-03-20,Siret,Transaction with Siret,198.37,EUR,D
232,2020-03-22,Reet,Transaction with Reet,677.48,EUR,D
233,2020-03-22,Circle K\Mustvee,'5555******4444 22.03.20  Circle K\Mustvee,74.98,EUR,D
234,2020-03-22,Fortum\Tõrva,'5555******4444 22.03.20  Fortum\Tõrva,107.64,EUR,D
235,2020-03-22,AlkoExpress\Laagri,'5555******4444 22.03.20  AlkoExpress\Laagri,383.68,EUR,D
236,2020-03-22,Statoil\Valga,'5555******4444 22.03.20  Statoil\Valga,86.75,EUR,D
237,2020-03-23,Sander,Transaction with Sander,730.37,EUR,K
238,2020-03-23,Andres,Transaction with Andres,497.23,EUR,K
239,2020-03-24,Alexela\Tartu,'5555******4444 24.03.20  Alexela\Tartu,59.57,EUR,D
240,2020-03-25,Olerex\Pärnu,'5555******4444 25.03.20  Olerex\Pärnu,33.82,EUR,D
241,2020-03-25,Kaire,Salary from Kaire,1458.59,EUR,K
242,2020-03-26,Statoil\Antsla,'5555******4444 26.03.20  Statoil\Antsla,88.39,EUR,D
243,2020-03-26,Euro Oil\Jõgeva,'5555******4444 26.03.20  Euro Oil\Jõgeva,10.61,EUR,D
244,2020-03-27,Kaubamaja\Narva,'5555******4444 27.03.20  Kaubamaja\Narva,103.22,EUR,D
245,2020-03-27,Terminal Oil\Narva,'5555******4444 27.03.20  Terminal Oil\Narva,11.21,EUR,D
246,2020-03-28,Ehe ja Ehtne\Tapa,'5555******4444 28.03.20  Ehe ja Ehtne\Tapa,393.2,EUR,D
247,2020-03-28,STV\Kunda,'5555******4444 28.03.20  STV\Kunda,49.91,EUR,D
248,2020-03-28,Olerex\Kärdla,'5555******4444 28.03.20  Olerex\Kärdla,72.71,EUR,D
249,2020-04-01,Viasat\Paldiski,'5555******4444 01.04.20  Viasat\Paldiski,104.78,EUR,D
250,2020-04-02,Statoil\Abja-Paluoja,'5555******4444 02.04.20  Statoil\Abja-Paluoja,88.83,EUR,D
251,2020-04-02,Olerex\Kohtla-Järve,'5555******4444 02.04.20  Olerex\Kohtla-Järve,74.27,EUR,D
252,2020-04-02,Elektrilevi\Vastseliina,'5555******4444 02.04.20  Elektrilevi\Vastseliina,109.65,EUR,D
253,2020-04-02,Home Decor\Tartu,'5555******4444 02.04.20  Home Decor\Tartu,121.29,EUR,D
254,2020-04-03,Triin,Transaction with Triin,50.14,EUR,K
255,2020-04-03,Abakhan\Lihula,'5555******4444 03.04.20  Abakhan\Lihula,79.67,EUR,D
256,2020-04-03,Benu Apteek\Otepää,'5555******4444 03.04.20  Benu Apteek\Otepää,79.74,EUR,D
257,2020-04-04,Alexela\Lohusuu,'5555******4444 04.04.20  Alexela\Lohusuu,96.8,EUR,D
258,2020-04-04,Apollo Raamatud\Võhma,'5555******4444 04.04.20  Apollo Raamatud\Võhma,391.7,EUR,D
259,2020-04-04,Jetoil\Laagri,'5555******4444 04.04.20  Jetoil\Laagri,23.54,EUR,D
260,2020-04-04,Põnnipesa\Tabasalu,'5555******4444 04.04.20  Põnnipesa\Tabasalu,414.01,EUR,D
261,2020-04-05,Kristo,Salary from Kristo,1042.46,EUR,K
262,2020-04-05,Hansapost e-pood\Muhu,'5555******4444 05.04.20  Hansapost e-pood\Muhu,61.46,EUR,D
263,2020-04-05,Neste\Kilingi-Nõmme,'5555******4444 05.04.20  Neste\Kilingi-Nõmme,89.31,EUR,D
264,2020-04-07,VKG Energia\Kunda,'5555******4444 07.04.20  VKG Energia\Kunda,25.55,EUR,D
265,2020-04-08,ERGO\Jõgeva,'5555******4444 08.04.20  ERGO\Jõgeva,74.65,EUR,D
266,2020-04-09,House\Püssi,'5555******4444 09.04.20  House\Püssi,264.49,EUR,D
267,2020-04-09,K-Rauta e-pood\Lääne-Nigula,'5555******4444 09.04.20  K-Rauta e-pood\Lääne-Nigula,475.74,EUR,D
268,2020-04-11,Euro Oil\Mustvee,'5555******4444 11.04.20  Euro Oil\Mustvee,63.85,EUR,D
269,2020-04-12,Arno,Transaction with Arno,638.82,EUR,D
270,2020-04-12,Grossi Toidukaubad\Otepää,'5555******4444 12.04.20  Grossi Toidukaubad\Otepää,159.73,EUR,D
